customer_id,customer_name,email,registration_date,customer_type
cust_1,Customer 1,user1@example.com,2025-09-13,REGULAR
cust_2,Customer 2,user2@example.com,2025-12-17,VIP
cust_3,Customer 3,user3@example.com,2025-11-23,REGULAR
cust_4,Customer 4,user4@example.com,2025-02-01,PREMIUM
cust_5,Customer 5,user5@example.com,2026-01-01,REGULAR
cust_6,Customer 6,user6@example.com,2025-08-21,REGULAR
cust_7,Customer 7,user7@example.com,2025-02-08,PREMIUM
cust_8,Customer 8,user8@example.com,2025-03-06,VIP
cust_9,Customer 9,user9@example.com,2025-06-24,REGULAR
cust_10,Customer 10,user10@example.com,2025-08-11,REGULAR
cust_11,Customer 11,user11@example.com,2025-06-17,VIP
cust_12,Customer 12,user12@example.com,2025-08-27,VIP
cust_13,Customer 13,user13@example.com,2025-04-13,VIP
cust_14,Customer 14,user14@example.com,2025-07-27,REGULAR
cust_15,Customer 15,user15@example.com,2025-12-24,VIP
cust_16,Customer 16,user16@example.com,2025-04-05,REGULAR
cust_17,Customer 17,user17@example.com,2025-02-15,PREMIUM
cust_18,Customer 18,user18@example.com,2025-01-16,PREMIUM
cust_19,Customer 19,user19@example.com,2025-06-17,VIP
cust_20,Customer 20,user20@example.com,2025-05-08,PREMIUM
cust_21,Customer 21,user21@example.com,2025-01-25,REGULAR
cust_22,Customer 22,user22@example.com,2025-03-08,REGULAR
cust_23,Customer 23,user23@example.com,2025-08-05,REGULAR
cust_24,Customer 24,user24@example.com,2025-12-17,REGULAR
cust_25,Customer 25,user25@example.com,2025-02-09,REGULAR
cust_26,Customer 26,user26@example.com,2025-01-26,VIP
cust_27,Customer 27,user27@example.com,2025-01-03,PREMIUM
cust_28,Customer 28,user28@example.com,2025-04-02,PREMIUM
cust_29,Customer 29,user29@example.com,2025-02-19,PREMIUM
cust_30,Customer 30,user30@example.com,2025-01-26,PREMIUM
cust_31,Customer 31,user31@example.com,2025-12-29,REGULAR
cust_32,Customer 32,user32@example.com,2025-01-29,REGULAR
cust_33,Customer 33,user33@example.com,2025-01-30,PREMIUM
cust_34,Customer 34,user34@example.com,2025-01-28,VIP
cust_35,Customer 35,user35@example.com,2025-03-03,PREMIUM
cust_36,Customer 36,user36@example.com,2025-02-03,REGULAR
cust_37,Customer 37,user37@example.com,2025-08-28,PREMIUM
cust_38,Customer 38,user38example.com,2025-03-12,REGULAR
cust_39,Customer 39,user39@example.com,2025-10-13,VIP
cust_40,Customer 40,user40@example.com,2025-08-24,VIP
cust_41,Customer 41,user41@example.com,2025-06-27,REGULAR
cust_42,Customer 42,user42@example.com,2025-01-21,VIP
cust_43,Customer 43,user43@example.com,2025-02-12,REGULAR
cust_44,Customer 44,user44@example.com,2025-08-24,VIP
cust_45,Customer 45,user45@example.com,2025-01-14,VIP
cust_46,Customer 46,user46@example.com,2025-07-15,VIP
cust_47,Customer 47,user47@example.com,2025-11-17,VIP
cust_48,Customer 48,user48@example.com,2025-02-20,REGULAR
cust_49,Customer 49,user49@example.com,2025-11-06,VIP
cust_50,Customer 50,user50@example.com,2025-02-03,REGULAR
cust_51,Customer 51,user51@example.com,2025-08-25,VIP
cust_52,Customer 52,user52@example.com,2025-07-09,REGULAR
cust_53,Customer 53,user53@example.com,2025-06-17,PREMIUM
cust_54,Customer 54,user54@example.com,2025-06-10,PREMIUM
cust_55,Customer 55,user55@example.com,2025-04-29,REGULAR
cust_56,Customer 56,user56@example.com,2025-08-03,REGULAR
cust_57,Customer 57,user57@example.com,2025-01-11,VIP
cust_58,Customer 58,user58@example.com,2025-04-18,VIP
cust_59,Customer 59,user59@example.com,2025-11-20,REGULAR
cust_60,Customer 60,user60example.com,2025-08-28,PREMIUM
cust_61,Customer 61,user61@example.com,2025-09-27,REGULAR
cust_62,Customer 62,user62@example.com,2025-02-09,PREMIUM
cust_63,Customer 63,user63@example.com,2025-07-27,REGULAR
cust_64,Customer 64,user64@example.com,2025-06-19,PREMIUM
cust_65,Customer 65,user65@example.com,2025-08-12,VIP
cust_66,Customer 66,user66@example.com,2025-07-02,PREMIUM
cust_67,Customer 67,user67@example.com,2025-10-31,PREMIUM
cust_68,Customer 68,user68@example.com,2025-04-15,VIP
cust_69,Customer 69,user69@example.com,2025-11-12,VIP
cust_70,Customer 70,user70@example.com,2025-06-17,VIP
cust_71,Customer 71,user71@example.com,2025-04-24,REGULAR
cust_72,Customer 72,user72@example.com,2025-05-17,PREMIUM
cust_73,Customer 73,user73@example.com,2025-03-29,REGULAR
cust_74,Customer 74,user74@example.com,2025-09-14,PREMIUM
cust_75,Customer 75,user75@example.com,2025-08-09,VIP
cust_76,Customer 76,user76@example.com,2025-03-20,PREMIUM
cust_77,Customer 77,user77@example.com,2025-02-27,REGULAR
cust_78,Customer 78,user78@example.com,2025-01-11,VIP
cust_79,Customer 79,user79@example.com,2025-07-12,PREMIUM
cust_80,Customer 80,user80@example.com,2025-01-04,REGULAR
cust_81,Customer 81,user81@example.com,2025-04-15,PREMIUM
cust_82,Customer 82,user82@example.com,2025-05-19,PREMIUM
cust_83,Customer 83,user83@example.com,2025-01-03,REGULAR
cust_84,Customer 84,user84@example.com,2025-07-08,REGULAR
cust_85,Customer 85,user85@example.com,2025-11-04,VIP
cust_86,Customer 86,user86@example.com,2025-01-07,REGULAR
cust_87,Customer 87,user87@example.com,2025-08-12,VIP
cust_88,Customer 88,user88@example.com,2025-03-12,REGULAR
cust_89,Customer 89,user89@example.com,2025-10-26,REGULAR
cust_90,Customer 90,user90@example.com,2025-10-05,REGULAR
cust_91,Customer 91,user91@example.com,2025-06-04,VIP
cust_92,Customer 92,user92@example.com,2025-06-17,PREMIUM
cust_93,Customer 93,user93@example.com,2025-08-03,PREMIUM
cust_94,Customer 94,user94@example.com,2025-05-25,VIP
cust_95,Customer 95,user95@example.com,2025-05-15,VIP
cust_96,Customer 96,user96@example.com,2025-06-25,VIP
cust_97,Customer 97,user97@example.com,2025-05-26,VIP
cust_98,Customer 98,user98@example.com,2025-09-25,PREMIUM
cust_99,Customer 99,user99@example.com,2025-02-14,PREMIUM
cust_100,Customer 100,user100@example.com,2025-06-26,REGULAR
cust_101,Customer 101,user101@example.com,2025-02-21,VIP
cust_102,Customer 102,user102@example.com,2025-12-19,REGULAR
cust_103,Customer 103,user103@example.com,2025-09-28,REGULAR
cust_104,Customer 104,user104@example.com,2025-05-16,PREMIUM
cust_105,Customer 105,user105@example.com,2025-02-22,VIP
cust_106,Customer 106,user106@example.com,2025-04-19,VIP
cust_107,Customer 107,user107@example.com,2025-03-31,REGULAR
cust_108,Customer 108,user108@example.com,2025-08-26,VIP
cust_109,Customer 109,user109example.com,2025-04-19,REGULAR
cust_110,Customer 110,user110@example.com,2025-10-01,PREMIUM
cust_111,Customer 111,user111@example.com,2025-09-19,VIP
cust_112,Customer 112,user112@example.com,2025-04-05,VIP
cust_113,Customer 113,user113@example.com,2025-07-22,REGULAR
cust_114,Customer 114,user114@example.com,2025-04-11,REGULAR
cust_115,Customer 115,user115@example.com,2025-09-22,REGULAR
cust_116,Customer 116,user116@example.com,2025-08-27,REGULAR
cust_117,Customer 117,user117@example.com,2025-10-04,REGULAR
